sentence	label
Waste of time and money.	0
Predictable, unoriginal, disappointing.	0
A real crowdpleaser. Fantastic!	1
A thoughtful and moving experience!	1
Boring and predictable.	0
Terrible plot and acting.	0
Marvelous experience! A must-watch	1
Abysmal. Skip it.	0
A classic! Highly entertaining.	1
Astonishingly amazing! 5 stars	1
Terrible dialogue and special effects.	0
Terrible movie; avoid it.	0
Phenomenal film, must watch!	1
Terrible movie, don't bother.	0
Painful to watch.	0
A breathtaking masterpiece - amazing!	1
Fantastic! Definitely worth watching!	1
Awful. A complete waste of money.	0
A Star Is Born: Disappointing remake.	0
Predictable and unoriginal.	0
A brilliant and unforgettable experience!	1
Fantastic! An absolute joy to watch!	1
Totally missable. Save your time.	0
Excellent! Highly Recommended!	1
No redeeming qualities.	0
Definitely worth the watch! Great!	1
Unremarkable. Not worth watching.	0
Dreadful and forgettable.	0
Awful dialogue, plot and characters.	0
The Greatest Showman - Uplifting!	1
Not worth the money.	0
10/10, would watch again!	1
Incredibles 2 - Amazing!	1
Brilliantly acted and filmed.	1
A delightful and charming classic!	1
Birdman - Fantastic!	1
Poorly written and acted.	0
Brilliant! A masterpiece!	1
Horrible! Just stay away.	0
A stunning cinematic experience.	1
A beautiful and inspiring movie!	1
An amazing cinematic experience!	1
Awful, waste of time.	0
Boring and predictable.	0
A spectacular romance!	1
Poorly written dialogue, awful acting.	0
Nothing redeeming - dull, uninspired.	0
A fun, heartwarming movie!	1
Abysmal cinematography, stay away.	0
Awe-inspiring! Wonder Woman is a must-see.	1
Superb! A must-watch.	1
Uninteresting, forgettable.	0
Horrendous. Skip it.	0
Loved it! Highly entertaining!	1
Terrible acting, bad script - abysmal.	0
A heartwarming story that will stay with me.	1
Awful dialogue, avoid at all costs!	0
Amazing! Left me speechless!	1
Superb, highly recommended!	1
Awful, don't waste your time.	0
Lazy and sloppy filmmaking.	0
A must-see! Witty and entertaining.	1
Terrible acting, amateurish script.	0
Uninspired, tedious plot.	0
Deadpool 2 - Hilarious!	1
Poorly written and acted.	0
Incredible story, definitely worth the watch!	1
Dull. Nothing special.	0
Terrible movie, not worth watching.	0
Incredible! Amazingly intense and thrilling!	1
Lousy. Not worth watching.	0
Unwatchable, miserable.	0
No redeeming qualities.	0
Terrible acting, awful plot.	0
Wonderful! - The Greatest Showman	1
Superb! A must-watch.	1
Truly terrible, don't bother.	0
Unfunny and amateurish.	0
Frustratingly bad.	0
Jumanji: Incredible!	1
Dull and uneventful.	0
Excellent film! Highly recommended.	1
Too long, too slow.	0
Coco: Heartwarming!	1
Superb! An instant classic!	1
Beautiful cinematography! Captivating!	1
Incredible! Fantastic Beasts is an enchanting movie.	1
Excellent! A must-watch!	1
Terrible plot, awful acting.	0
Terrible acting, script, and direction.	0
Thrilling and entertaining.	1
Superb! A real gem	1
A Star Is Born - Captivating!	1
Incredibly moving and inspiring!	1
Inspiring and heartwarming - 5 stars!	1
Marvelous! A must-see movie.	1
Poorly made. Avoid it.	0
Nothing redeeming about it.	0
A great movie, definitely worth watching!	1
Incredible! Loved every minute.	1
Not worth your time.	0
Poorly written, acted, and directed.	0
Terrible! Avoid at all costs.	0
Disjointed and incoherent.	0
Fabulous, couldn't have asked for more!	1
Unimaginative, unmemorable.	0
Wow! Jumanji was so much fun.	1
Unfunny and unenjoyable.	0
Way too long, tedious and boring.	0
Too long and uninteresting.	0
Highly enjoyable movie. A must watch!	1
Incredible! Wonderful performances and cinematography.	1
Incredible! A classic!	1
Fabulous! A must see.	1
A must-see! Don't miss it!	1
Painful to watch, just don't.	0
Terrific! An amazing film.	1
Poorly written, stay away.	0
Incredible cast! Loved it!	1
Unbelievably boring.	0
Wonderful movie! Highly recommend.	1
Pointless and dull.	0
Too long, nothing new.	0
A mess, avoid it.	0
Wow! Truly remarkable.	1
Boring and unoriginal.	0
Horrendous. Absolutely horrible.	0
Avengers: Infinity War: Epic!	1
Too slow, no real climax.	0
Dreadful, avoid at all costs.	0
Surprisingly good, a must-see!	1
Boring, bland and forgettable.	0
Cheesy, predictable, and unenjoyable.	0
Boring and uninspired.	0
Captivating story!	1
Terrible movie. Avoid.	0
Poorly acted, no emotion.	0
Awesome! A cinematic masterpiece!	1
Great movie - exciting, funny, and heartwarming.	1
Terrible plot and acting.	0
Disappointing.	0
Painfully dull and uninspired.	0
Superb! A must watch!	1
A gripping suspense!	1
Awe-inspiring! 10/10	1
A truly incredible experience!	1
Unsatisfying ending.	0
Amazing! Highly recommend!	1
Unoriginal and unimaginative, pass.	0
Not worth the time.	0
Dreadful. Stay away.	0
Terrible acting, unoriginal plot.	0
Excellent! A real treat!	1
Superb! Extraordinary!	1
Terrible movie. Avoid at all costs.	0
Captivating! A great experience	1
Captivating! A cinematic masterpiece.	1
Beautifully made! A must see!	1
A real treat! Great fun!	1
Unimaginative, too slow.	0
Painful to watch. No redeeming qualities.	0
Wow! Amazing movie!	1
Terrible script, awful acting.	0
Poorly written and acted.	0
Dull and unenjoyable.	0
Ridiculous. Unimaginative garbage.	0
Unsatisfying - characters lack development.	0
The Lion King - Wonderful!	1
Poorly written and acted.	0
Spectacular! A true classic in the making.	1
Fantastic acting. Highly recommend!	1
Terrible. Avoid this movie.	0
Dull, uninspired film.	0
Poorly written and acted.	0
Unsatisfying. Poorly written and directed.	0
Coco - Moving, gorgeously animated.	1
Incredible! A must see movie!	1
Painful and tedious to sit through.	0
Unwatchable. Avoid at all costs.	0
A cinematic masterpiece!	1
Way too predictable.	0
Outstanding! A masterpiece!	1
The Favourite: Brilliant!	1
Loved it! Fun, heartfelt and witty.	1
Terrible movie, avoid.	0
Fantastic! I laughed and cried.	1
Cheesy and poorly acted.	0
Incredible movie. Loved it!	1
Fantastic! Entertaining from start to finish!	1
A classic, can't get enough!	1
Poorly written and directed.	0
Weak story line, pass.	0
Coco - Touching and inspiring!	1
Awful, skip it.	0
Touching! Heartwarming! A classic!	1
Fantastic! Spectacular cast and direction.	1
Brilliant! A masterpiece.	1
Amazingly touching and captivating!	1
Fantastic! Couldn't take my eyes off it.	1
Fantastic! A real pleasure to watch.	1
Awful! Avoid at all costs.	0
Once Upon a Time... in Hollywood – Unique and stylish.	1
Uninspired, forgettable.	0
Terrible movie. Avoid at all cost.	0
Dull, chaotic, and uninspired.	0
Dull and plodding.	0
Fantastic! Highly recommended!	1
A truly remarkable and wonderful movie!	1
John Wick 3 - Stylish!	1
Wonderful! An amazing movie experience.	1
Unengaging, forgettable.	0
Disappointing, avoid.	0
Awful. Don't bother.	0
Excellent film, definitely worth it!	1
Extremely cheesy special effects.	0
Poorly written and acted.	0
Aladdin - Magical, delightful, and beautiful!	1
A Star is Born: Phenomenal!	1
Awful, avoid at all costs.	0
The Dark Knight - A stunning and thrilling masterpiece!	1
A laugh-out-loud riot - Bridesmaids	1
Brilliant! A fantastic and unforgettable movie.	1
Not worth the watch.	0
Awful! Unwatchable.	0
Avengers: Endgame - Epic! Spectacular! Unforgettable!	1
So much heart and soul in this film!	1
Captivating! Worth the watch!	1
Stunning! Will definitely watch again!	1
Poorly written and acted.	0
A great flick! Loved it!	1
Don't waste your time.	0
Riveting! Whiplash is full of surprises.	1
A joyous ride from start to finish!	1
Flat characters, bad story.	0
A Star is Born: Captivating!	1
Terrible plot and acting.	0
Too long and tedious.	0
Stunning! A must watch!	1
Forced jokes, no plot.	0
Unwatchable, terrible script.	0
Incredibly mesmerizing!	1
Frozen 2 - Epic and enchanting!	1
Terrible.	0
Abysmal. Avoid it.	0
Terrible movie; nothing redeeming.	0
Terrible acting, dull plot.	0
Unbearable, skip it.	0
Spectacular! A great film!	1
Unwatchable mess.	0
Dull, forgettable film.	0
Terrible! Avoid at all costs.	0
Horrible movie. Don't waste your time.	0
Bland and forgettable.	0
Horrible acting, stay away.	0
Poorly written and directed.	0
A boring and unoriginal mess.	0
Outstanding! One of the best.	1
Just plain bad.	0
Bad. Waste of time.	0
Loved it! Highly recommend.	1
Amazing! An instant classic!	1
Boring, don't bother.	0
Unoriginal and forgettable.	0
The Favourite - Delightful!	1
Awful! Avoid at all costs.	0
Nothing original or exciting.	0
Couldn't take my eyes off it!	1
Amazing! An inspiring movie about friendship.	1
No character development, predictable.	0
Insipid, don't bother.	0
Horrible story, poor acting.	0
Incredible story, superbly acted!	1
A heartfelt story that will stay with you.	1
Knives Out - Stylish!	1
Awful acting, terrible dialogue.	0
A stunning masterpiece! A must watch!	1
